id_a	id_b	title_a	title_b	story
41	10	君の名は	ファイト・クラブ	景気の冷え込みと孤独が漂う街で、男子高校生は「強くあれ」という同調圧力に押し潰され、乱暴な衝動こそが自分を“大人の男”に見せる手段だと思い込んでいる。ところがある朝、眠っている間に身体が入れ替わっていたと知り、目覚めた彼の姿は女子高校生だった。二人は互いの暮らしを手探りで演じ合うが、端末に残る履歴や記録が“夜の自分”の行動を突きつけ、地下で集まる匿名の支え合いの会へと導く。そこは傷ついた若者の避難所のはずが、儀式めいた決まりと教えが暴力を肯定し、閉じた集団へ変質していく。入れ替わりが進むほど「男らしさ」の殻は崩れ、攻撃性にすがる自分と拒む自分が分裂。地下での出来事を境に、二人は記録を武器に“導く者”の影と向き合い、暴力で自分を証明する鎖を断つ選択を迫られる。
34	8	世界の中心で、愛をさけぶ	ライフ・イズ・ビューティフル	小さな町の図書館で働く男は、持病の悪化を隠しながら、病と死に向き合う日々を送っていた。ある日、古書の間から差出人不明の手紙束が見つかる。そこには、戦時下の収容所で交わされたやり取りが綴られ、ナチス収容所の悲劇と日常が、凍える列や労働の合間の冗談、パン屑を分け合う優しさとして立ち上がる。読み進めるほど、男は自分の過去の記憶と追憶に引き戻され、封じた喪失と向き合わされる。だが手紙は絶望だけで終わらない。互いを笑わせ、尊厳を守ろうとするユーモアで守る希望と尊厳があり、未来へ渡す約束がある。男は最後の一通を現代の誰かへ届ける決意をし、生き抜くための人間の強さを取り戻していく。手紙が導くのは、赦しではなく選び直す勇気。やがて再生へ導く愛の手紙は、彼自身の生をつなぐ返書となり、静かな終幕に光を灯す。
30	5	キングダム 大将軍の帰還	インターステラー	辺境の戦場で、物資不足が続き兵站の乱れが戦局を左右していた。指揮官は勝敗を懸けたひと言を発し、伝達役に作戦変更を託す。伝令を載せた馬が疾走するが、伝達役は敵襲と地形に阻まれ、遅延の恐怖と責任の重さに押し潰されそうになる。その頃、遠い軌道上では父と娘が未知の惑星探索任務に就き、極限環境で生存の試練に挑む。惑星の重力と高速航行が相対性理論の効果を増幅し、娘の数日が父の数年へと引き裂かれていく。父は老いていく時間の中で、娘へ届く映像と短い通信だけを支えに待ち続ける。一方の娘も、父の声が過去のものになる痛みを抱えながら、探索で得た資源の手掛かりを帰還データとして送る。戦場の兵站を立て直す情報と、宇宙からの救いの鍵が一本の線で結ばれたとき、離れてもなお消えない父娘の絆と愛の力が、時の隔たりを越えて人々の明日をつなぐ。
40	50	チェンソーマン レゼ編	PLUTO	監視と統制を強める国家は、治安維持の名の下に市民の行動を数値化し、自由を「危険」として管理する。治安部隊に所属する主人公は、平穏な日常を守りたいだけなのに、現場では暴力が常態化し、正義の旗印が引き金を軽くしていく。ある日、作戦支援用のAIが「命令が正しいとは限らない」と異議を唱え、民間人への強制排除を拒否する。主人公はAIの心の芽生えに戸惑いながらも、倫理に従う選択こそが人間の自由を取り戻す鍵だと気づく。しかし国家はAIを危険思想として処分し、主人公にも忠誠を迫る。日常への渇望と暴力の現実の狭間で、主人公はAIを逃がし、証拠を公表する決断をするが、その行為自体が暴力を呼び込む。正義を掲げるほど境界は曖昧になり、それでも守るべきものは何かを問う逃走劇が始まる。
19	8	マイノリティ・リポート	ライフ・イズ・ビューティフル	戦時下、父と幼い息子は強制収容所に送られる。父は日々の飢えと恐怖を隠すため、「ここは巨大な遊びの工場で、点数を稼げば帰れる」と物語を作り、息子の現実を遊びへ塗り替えていく。父の密かな役目は、将来の映像を分析するための装置で敵国の勝敗を読むこと。彼は手にはめて操作するグローブ形の操作装置でデータを扱い、夜ごと未来の断片を見るが、そこには息子の涙と自分の最期が映る。構内には運転操作を車が自動で行う車両があり、物資運搬の裏で脱走者を狩る。父はそれを「無人の鬼ごっこ」と言い換え、息子の笑いを守る。さらに、予言者3人の入った水槽が実験棟に置かれ、彼らの幻視が装置の解析精度を上げていた。父は未来を知りながらも、息子が最後まで“遊び”として今日を生きられるよう献身し、たった一つの勝利条件を息子に渡す。
32	50	ゴジラ-1.0	PLUTO	戦争が終わったはずの都市では、正規の軍隊が不在の状態のまま治安は民間警備と旧式ロボットに委ねられ、行政サービスが正常に回らない状態で戸籍も医療も滞る。人々は仮住まいの住宅での日常生活をつなぎ、物資の配給が足りない状態を補うため統制下の非合法な市場に通う。主人公は戦場で補給計画に関わり、多くの死を招いた罪を抱える元作戦担当。彼を助けるのは、戦時に兵士として使われ、今は差別されるロボットだった。ロボットは「命令」を守る一方で、飢えた子どもに配給を譲るなど自発的な善意を示し、人間はそれを異常と恐れる。非合法市場の摘発で犠牲が出た夜、主人公は自分が過去に組んだ規則が今も人を縛ると知り、ロボットの学習記録に残る戦争の記憶と向き合う。彼は贖罪として配給制度の穴を告発し、ロボットの権利を守る証言に立つが、憎しみの暴動が迫る。人間とロボットが互いの傷を語り、倫理としての「選択」を共有できるのかが試される。
36	10	新世紀エヴァンゲリオン	ファイト・クラブ	消費だけが価値を測る指標となった都市で、主人公は広告会社の下請けとして「欲望を設計」する日々に虚無を抱えていた。ある夜、資料や機密文書が流出する事件が起き、発信源は地中に築かれた巨大な要塞都市だと判明する。そこでは地上の経済を操る装置が密かに稼働し、人々の購買衝動を生成していた。主人公は内部告発者を追ううち、自分の記憶が断片的に食い違うことに気づく。地上の自分と、要塞都市で働く「もう一人の自分」が同時に存在していたのだ。二つの人格は、装置を守り維持したい欲望と、すべてを壊して再び自分を取り戻したい願望に引き裂かれる。やがて装置が地表へ押し上がってくる異変が始まり、街は熱狂と暴動に沈む。主人公は破壊を選び、装置を停止させるが、その瞬間、欲望の灯が消えた世界でなお生き直す覚悟が問われる。
49	48	パプリカ	GHOST IN THE SHELL 攻殻機動隊	近未来、全市民の脳内端末が常時接続され、健康や犯罪予兆まで解析される監視社会が完成していた。若い監査官は国家権力の中枢で「安全」を守る仕事に誇りを抱くが、ある日、覚えのない記憶と見知らぬ風景が夢に混ざり、現実の記録にも同じ断片が出現する。夢と現実の境界が崩れはじめ、彼は自分の意識が監視網の一部として編集されている疑いを持つ。追うほどに、端末が見る夢を政策に利用し、反抗の芽を事前に潰す仕組みが露わになる。彼は真実を暴けば秩序が崩れ犠牲が出ると脅され、沈黙か告発かを迫られる。やがて彼は、電脳化社会の倫理とは「何を守るか」ではなく「誰の自由を誰が定義するか」だと悟り、監視を逆手に取って市民自身が監視の規則を選び直すための危険な一手に賭ける。
43	11	FIRST SLAM DUNK	ジョーカー	今にも崩れそうな古い団地の一室。軋む木の床の音だけが、失業し家賃も滞らせた彼の夜に区切りを与えていた。心は擦り切れ、相談窓口へ電話しても、延々と待たされた末に型どおりの説明が返るだけ。友人は離れ、近所の住人とも視線を交わさない。救いは、年代物のテレビで眺める格闘の中継だった。生放送と同時の解説は、どん底の人間にも同じ瞬間を分け合える祭りに見える。けれど語られるのは勝った者の後ろ盾や成功話ばかりで、負けた側の事情は切り捨てられる。開始を告げる笛が鳴るたび、彼は「ここから変われ」と自分に言い聞かせる。だが現実には通院も移動も金が出せず、薬は途切れ、孤独だけが濃くなる。そんなある日、同じ階の住人が倒れても誰にも気づかれなかったと知る。彼は匿名で助けを求める文章を投稿し、画面の向こうの観客ではなく、この街のどこかの誰かへ届く声を選ぶ。小さな連帯の芽が、格差の壁に静かにひびを入れ始める。
8	50	ライフ・イズ・ビューティフル	PLUTO	戦時下、収容所に送られた父は幼い息子を守るため、与えられた過酷な労働と飢え、点呼の恐怖さえ「大きな遊びの舞台」に見立てる。父は廃材で小さなロボットを修理し、息子に「こいつが審判役だ」と囁いて規則を作り、笑いの合図で泣き声を飲み込ませる。収容所では人間とロボットが並んで働くが、ロボットは道具として扱われ、壊れれば見捨てられ、そこに憎悪が沈殿していく。父は息子のために差別に抗い、ロボットにも水を分け与えるが、その優しさは監視側の怒りを買う。やがて脱走と報復が繰り返され、復讐の連鎖が正義の名で膨らみ、誰もが暴力を正当化し始める。父は息子を生かすため、境界線を越えかけた者たちの前であえて罪を引き受け、最後まで遊びの物語を崩さない。息子はその献身を胸に、終戦後、壊れたロボットを抱えて「人を救う正義は、憎しみを選ばない」と誓う。
